topic_id	tweet_id	score	run_id
covid-19	1237160250513522688	1.0136452e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237125962871037953	1.0343525e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237207721604235264	1.9828314e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237178597024108552	0.9999786	T1-eng-SSN_NLP-Transformer
covid-19	1237049051058561024	1.0143425e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237185090079383553	9.823275e-06	T1-eng-SSN_NLP-Transformer
covid-19	1237050222485868544	1.6031872e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237516104647315456	0.98660934	T1-eng-SSN_NLP-Transformer
covid-19	1237083404543418368	1.1114383e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237183270086942720	0.99991083	T1-eng-SSN_NLP-Transformer
covid-19	1237025880834281479	4.2407399999999997e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237036960562249728	0.9999866	T1-eng-SSN_NLP-Transformer
covid-19	1237018298488950784	0.0032154145	T1-eng-SSN_NLP-Transformer
covid-19	1237131378048684032	0.9999861999999999	T1-eng-SSN_NLP-Transformer
covid-19	1237019056139624449	0.9999646999999999	T1-eng-SSN_NLP-Transformer
covid-19	1237045226977603584	2.0577561e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237209114532630529	1.2542276e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237073768742293506	0.9999861999999999	T1-eng-SSN_NLP-Transformer
covid-19	1237333647771832320	1.008602e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237066141178236930	0.9999861999999999	T1-eng-SSN_NLP-Transformer
covid-19	1236999087112761344	3.4705154e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237206028569079810	1.5137778e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237325962733400064	1.11128575e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237195828189634560	0.99995184	T1-eng-SSN_NLP-Transformer
covid-19	1236947198971125761	0.9999775	T1-eng-SSN_NLP-Transformer
covid-19	1237117310151909381	8.0416954e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237128571988127744	0.0011289981	T1-eng-SSN_NLP-Transformer
covid-19	1237539504086347777	0.9999851999999999	T1-eng-SSN_NLP-Transformer
covid-19	1237089665875726336	3.1195894e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237162333589442560	4.0101e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237297931801243648	1.0151931e-05	T1-eng-SSN_NLP-Transformer
covid-19	1236996933610340359	3.7444854e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237013673836675073	3.2180475999999996e-05	T1-eng-SSN_NLP-Transformer
covid-19	1236911907027791873	1.0776037e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237512557088260097	0.99998707	T1-eng-SSN_NLP-Transformer
covid-19	1237226775148662784	1.01577425e-05	T1-eng-SSN_NLP-Transformer
covid-19	1236778356105981953	3.9735693e-05	T1-eng-SSN_NLP-Transformer
covid-19	1237008932075384832	9.855828e-06	T1-eng-SSN_NLP-Transformer
